time,own_icao24,intruder_icao24,own_latitude,own_longitude,own_geo_altitude_m,own_velocity_ms,own_heading_deg,own_vertical_rate_ms,intruder_latitude,intruder_longitude,intruder_geo_altitude_m,intruder_velocity_ms,intruder_heading_deg,intruder_vertical_rate_ms,relative_distance_km,relative_altitude_m,relative_speed_proxy_ms,distance_state,altitude_state,closing_state,mdp_state,recommended_action,reward
1781283492,750264,75839f,2.8313,101.6663,419.1,74.19,146.31,-3.58,3.0386,101.6383,2415.54,136.43,319.28,-5.2,23.259,1996.44,62.24,far,above,approaching,far_above_approaching,maintain,5
1781283492,750264,750493,2.8313,101.6663,419.1,74.19,146.31,-3.58,3.1105,101.8073,3573.78,139.38,226.65,-3.25,34.77,3154.68,65.19,far,above,approaching,far_above_approaching,maintain,5
1781283492,750264,76cef1,2.8313,101.6663,419.1,74.19,146.31,-3.58,2.9741,101.9271,9128.76,266.26,321.67,0.0,33.03,8709.66,192.07,far,above,approaching,far_above_approaching,maintain,5
1781283492,750264,7504e0,2.8313,101.6663,419.1,74.19,146.31,-3.58,2.7594,102.1317,5090.16,184.31,290.76,-4.88,52.303,4671.06,110.12,far,above,approaching,far_above_approaching,maintain,5
1781283492,75025b,75839f,2.925,101.6034,1089.66,96.31,145.89,-6.18,3.0386,101.6383,2415.54,136.43,319.28,-5.2,13.213,1325.88,40.12,medium,above,approaching,medium_above_approaching,maintain,5
1781283492,75025b,7c4920,2.925,101.6034,1089.66,96.31,145.89,-6.18,3.5562,101.434,9227.82,256.46,315.08,4.55,72.662,8138.16,160.15,far,above,approaching,far_above_approaching,maintain,5
1781283492,75025b,750493,2.925,101.6034,1089.66,96.31,145.89,-6.18,3.1105,101.8073,3573.78,139.38,226.65,-3.25,30.628,2484.12,43.07,far,above,approaching,far_above_approaching,maintain,5
1781283492,75025b,76cef1,2.925,101.6034,1089.66,96.31,145.89,-6.18,2.9741,101.9271,9128.76,266.26,321.67,0.0,36.358,8039.1,169.95,far,above,approaching,far_above_approaching,maintain,5
1781283492,75025b,7504e0,2.925,101.6034,1089.66,96.31,145.89,-6.18,2.7594,102.1317,5090.16,184.31,290.76,-4.88,61.494,4000.5,88.0,far,above,approaching,far_above_approaching,maintain,5
1781283492,781eea,a3c2d5,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.8577,113.6781,2423.16,129.54,105.2,-1.63,32.727,-1219.2,51.08,far,below,approaching,far_below_approaching,maintain,5
1781283492,781eea,781841,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.8333,113.6806,960.12,92.97,152.3,0.0,30.973,-2682.24,87.65,far,below,approaching,far_below_approaching,maintain,5
1781283492,781eea,780667,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.8025,113.7211,1059.18,94.33,152.74,-4.23,25.637,-2583.18,86.29,far,below,approaching,far_below_approaching,maintain,5
1781283492,781eea,7805b3,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.5104,113.8834,1501.14,131.69,135.63,11.38,19.832,-2141.22,48.93,medium,below,approaching,medium_below_approaching,maintain,5
1781283492,781eea,7818f6,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.8362,113.5205,960.12,106.23,18.35,0.0,45.766,-2682.24,74.39,far,below,approaching,far_below_approaching,maintain,5
1781283492,781eea,789217,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.5241,114.1517,5219.7,199.26,318.03,2.28,28.407,1577.34,18.64,far,above,approaching,far_above_approaching,maintain,5
1781283492,781eea,789239,22.6824,113.9345,3642.36,180.62,320.78,5.2,22.0067,114.1128,1889.76,128.53,287.71,-2.93,77.34,-1752.6,52.09,far,below,approaching,far_below_approaching,maintain,5
1781283492,781eea,780970,22.6824,113.9345,3642.36,180.62,320.78,5.2,23.0775,113.742,5402.58,205.28,0.72,0.65,48.156,1760.22,24.66,far,above,approaching,far_above_approaching,maintain,5
